Sheer Vintage Scoop Tee,6 colours available,RAMADAN 30-70% OFF SALE 🎉,2.0 out of 5 stars. 1 review,RM59.00,RM29.00
Wren Mini Skirt,4 colours available,RAMADAN 30-70% OFF SALE 🎉,RM89.00,RM44.00
Lace Smock Blouse,2 colours available,RAMADAN 30-70% OFF SALE 🎉,5.0 out of 5 stars. 1 review,RM60.00,RM42.00
Ella Midi Skirt,1 colour available,RAMADAN 30-70% OFF SALE 🎉,5.0 out of 5 stars. 2 reviews,RM60.00,RM42.00
Danielle Long Sleeve Cardi,3 colours available,RAMADAN 30-70% OFF SALE 🎉,5.0 out of 5 stars. 1 review,RM59.00,RM29.00
Lace Smock Blouse,2 colours available,RAMADAN 30-70% OFF SALE 🎉,5.0 out of 5 stars. 1 review,RM60.00,RM42.00
Woven Shae Shirred Midi Dress,4 colours available,RAMADAN 30-70% OFF SALE 🎉,RM159.00,RM79.00
Coco Off The Shoulder Blouse,2 colours available,RAMADAN 30-70% OFF SALE 🎉,RM54.00,RM49.00
Yasmine Gathered Short Sleeve Mini Dress,1 colour available,RAMADAN 30-70% OFF SALE 🎉,4.3 out of 5 stars. 4 reviews,RM105.00,RM45.00
Woven Kiara Tie Front Mini Dress,9 colours available,RAMADAN 30-70% OFF SALE 🎉,4.5 out of 5 stars. 10 reviews,RM44.00,RM30.80
Woven Claire Short Sleeve Playsuit,1 colour available,RAMADAN 30-70% OFF SALE 🎉,5.0 out of 5 stars. 2 reviews,RM60.00,RM42.00
Kirsty Racerback Bodycon Midi Dress,4 colours available,RAMADAN 30-70% OFF SALE 🎉,4.8 out of 5 stars. 4 reviews,RM75.00,RM30.00
Sasha Tie Front Shirt,4 colours available,RAMADAN 30-70% OFF SALE 🎉,2.0 out of 5 stars. 1 review,RM64.00,RM44.80
Woven Bermuda Short,3 colours available,RAMADAN 30-70% OFF SALE 🎉,3.7 out of 5 stars. 6 reviews,RM89.00,RM44.00
Essential Slogan T Shirt,3 colours available,RAMADAN 30-70% OFF SALE 🎉,2.9 out of 5 stars. 7 reviews,RM59.00,RM29.00
Byron Tiered Mini Skirt,4 colours available,RAMADAN 30-70% OFF SALE 🎉,2.0 out of 5 stars. 1 review,RM52.00,RM36.40
A Sweetheart Scoop Back Tee,4 colours available,RAMADAN 30-70% OFF SALE 🎉,RM59.00,RM29.00
Eve Frill Midi Skirt,4 colours available,RAMADAN 30-70% OFF SALE 🎉,RM64.00,RM44.00
Woven Christine Check Playsuit,4 colours available,RAMADAN 30-70% OFF SALE 🎉,RM129.00,RM64.00
Jude Kimono Sleeve Top,3 colours available,RAMADAN 30-70% OFF SALE 🎉,4.7 out of 5 stars. 7 reviews,RM34.00,RM29.00
A Sweetheart Scoop Back Tee,4 colours available,RAMADAN 30-70% OFF SALE 🎉,RM59.00,RM29.00
The High Crew Boxy Chop Tank,4 colours available,RAMADAN 30-70% OFF SALE 🎉,RM59.99,RM30.00
Woven Bermuda Short,3 colours available,RAMADAN 30-70% OFF SALE 🎉,3.7 out of 5 stars. 6 reviews,RM89.00,RM44.00
Shelly Shirred Bodice Mini Dress,6 colours available,RAMADAN 30-70% OFF SALE 🎉,RM89.00,RM44.00
Woven Christine Check Playsuit,4 colours available,RAMADAN 30-70% OFF SALE 🎉,RM129.00,RM64.00
The High Crew Boxy Chop Tank,4 colours available,RAMADAN 30-70% OFF SALE 🎉,RM59.99,RM30.00
River V Neck Long Sleeve Top,4 colours available,RAMADAN 30-70% OFF SALE 🎉,RM30.00,RM21.00
90S Slip Skirt,6 colours available,RAMADAN 30-70% OFF SALE 🎉,4.7 out of 5 stars. 9 reviews,RM52.00,RM49.00
Woven Nina Strappy Playsuit,3 colours available,RAMADAN 30-70% OFF SALE 🎉,3.2 out of 5 stars. 5 reviews,RM105.00,RM45.00
Woven Luella Long Sleeve Playsuit,2 colours available,RAMADAN 30-70% OFF SALE 🎉,3.2 out of 5 stars. 5 reviews,RM60.00,RM42.00
